SKU,Revenue,Cumulative_Revenue,Cumulative_Pct,ABC_Class
J0292-TP-XL,754.0,78122041.04000029,99.42478909307235,C
J0154-DR-S,754.0,78122795.04000029,99.42574869794159,C
J0294-TP-XXXL,754.0,78123549.04000029,99.42670830281081,C
JNE3649-TP-N-XS,754.0,78124303.04000029,99.42766790768005,C
JNE3523-KR-S,752.0,78125055.04000029,99.42862496717827,C
JNE3676-TU-M,752.0,78125807.04000029,99.42958202667648,C
JNE3523-KR-XL,752.0,78126559.04000029,99.43053908617472,C
J0254-SKD-XXL,750.0,78127309.04000029,99.43149360030193,C
SAR140,749.0,78128058.04000029,99.43244684174365,C
BTM040-PP-S,749.0,78128807.04000029,99.43340008318536,C
JNE3428-KR-S,747.0,78129554.04000029,99.43435077925608,C
NW022-TP-PJ-S,744.0,78130298.04000029,99.43529765727027,C
J0034-SET-XS,743.0,78131041.04000029,99.43624326259898,C
J0133-KR-A-M,741.0,78131782.04000029,99.43718632255667,C
SET191-KR-PP-XL,738.0,78132520.04000029,99.43812556445785,C
SET191-KR-PP-M,738.0,78133258.04000029,99.43906480635903,C
SET195-KR-NP-A-XS,737.0,78133995.04000029,99.44000277557471,C
BTM036-PP-S,737.0,78134732.04000029,99.44094074479038,C
SET138-KR-PP-S,737.0,78135469.04000029,99.44187871400607,C
JNE3907-KR-L,736.0,78136205.04000029,99.44281541053624,C
JNE3030-KR-S,736.0,78136941.04000029,99.44375210706642,C
JNE3889-KR-M,736.0,78137677.04000029,99.4446888035966,C
JNE3889-KR-S,736.0,78138413.04000029,99.44562550012678,C
JNE3622-KR-XL,736.0,78139149.04000029,99.44656219665696,C
JNE2266-KR-490-A-L,736.0,78139885.04000029,99.44749889318713,C
J0172-TP-XXL,729.0,78140614.04000029,99.44842668091879,C
BTM026-NP-XXL,729.0,78141343.04000029,99.44935446865044,C
SET225-KR-NP-XXXL,729.0,78142072.04000029,99.4502822563821,C
JNE3491-KR-M,724.0,78142796.04000029,99.45120368068623,C
AN205-YELLOW-S,723.0,78143519.04000029,99.45212383230488,C
SET022-KR-SP-A-XXL,723.0,78144242.04000029,99.45304398392352,C
BTM038-PP-XXL,721.86,78144963.90000029,99.45396268468068,C
SAR134,720.0,78145683.90000029,99.4548790182428,C
J0082-TP-L,720.0,78146403.90000029,99.45579535180494,C
BTM039-PP-XXL,720.0,78147123.90000029,99.45671168536707,C
BTM044-PP-XXXL,720.0,78147843.90000029,99.4576280189292,C
JNE3464-KR-XXL,719.0,78148562.90000029,99.45854307980582,C
JNE3464-KR-XXXL,719.0,78149281.90000029,99.45945814068246,C
JNE3622-KR-XS,717.0,78149998.90000029,99.46037065618808,C
JNE3786-KR-M,717.0,78150715.90000029,99.4612831716937,C
SET241-KR-PP-S,714.0,78151429.90000029,99.4621918691428,C
SET136-KR-PP-L,712.0,78152141.90000029,99.46309802122092,C
J0112-TP-S,708.0,78152849.90000029,99.46399908255701,C
J0085-TP-XXL,706.0,78153555.90000029,99.4648975985221,C
J0085-TP-M,706.0,78154261.90000029,99.46579611448718,C
J0434-DR-S,704.0,78154965.90000029,99.46669208508126,C
J0160-TP-L,704.0,78155669.90000029,99.46758805567535,C
J0420-TP-L,704.0,78156373.90000029,99.46848402626942,C
BTM040-PP-XL,701.0,78157074.90000029,99.469376178807,C
J0075-KR-XS,700.0,78157774.90000029,99.47026705865908,C
SET315-KR-PP-XL,699.0,78158473.90000029,99.47115666582565,C
J0182-SET-S,699.0,78159172.90000029,99.4720462729922,C
JNE2086-KR-389-XL,699.0,78159871.90000029,99.47293588015877,C
NW023-ST-SR-XL,699.0,78160570.90000029,99.47382548732534,C
J0052-KR-XS,699.0,78161269.90000029,99.47471509449191,C
J0211-DR-XS,699.0,78161968.90000029,99.47560470165848,C
SET372-KR-PP-XXL,699.0,78162667.90000029,99.47649430882504,C
